Key,en,hi,ar,es
Permission deleted successfully!,Permission deleted successfully!,अनुमति सफलतापूर्वक हटा दी गई!,تم حذف الإذن بنجاح!,¡Permiso eliminado exitosamente!
Role permission not found!,Role permission not found!,भूमिका की अनुमति नहीं मिली!,لم يتم العثور على إذن الدور!,¡Permiso de rol no encontrado!
Permission assign successfully!,Permission assign successfully!,अनुमति सफलतापूर्वक असाइन की गई!,تم تعيين الإذن بنجاح!,¡El permiso se asignó correctamente!
Can't deletable system super admin,Can't deletable system super admin,सिस्टम सुपर एडमिन को हटाया नहीं जा सकता,لا يمكن حذف المشرف المتميز للنظام,No se puede eliminar el superadministrador del sistema
Admin deleted successfully!,Admin deleted successfully!,व्यवस्थापक सफलतापूर्वक हटा दिया गया!,تم حذف المشرف بنجاح!,¡El administrador se eliminó exitosamente!
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक जोड़ी गई!,تمت إضافة الشاشة على متن الطائرة بنجاح!,¡Pantalla integrada agregada con éxito!
Onboard screen not found!,Onboard screen not found!,ऑनबोर्ड स्क्रीन नहीं मिली!,لم يتم العثور على الشاشة على متن الطائرة!,¡No se encontró la pantalla integrada!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,ऑनबोर्ड स्क्रीन स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!,¡El estado de la pantalla integrada se actualizó correctamente!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,ऑनबोर्ड स्क्रीन जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!,¡La información de la pantalla a bordo se actualizó exitosamente!
Screen deleted successfully!,Screen deleted successfully!,स्क्रीन सफलतापूर्वक हटा दी गई!,تم حذف الشاشة بنجاح!,¡Pantalla eliminada exitosamente!
Splash screen updated successfully!,Splash screen updated successfully!,स्पलैश स्क्रीन सफलतापूर्वक अपडेट की गई!,تم تحديث شاشة البداية بنجاح!,¡La pantalla de bienvenida se actualizó correctamente!
URL settings updated successfully!,URL settings updated successfully!,यूआरएल सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث إعدادات URL بنجاح!,¡La configuración de URL se actualizó correctamente!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين البث بنجاح!,¡La configuración de transmisión se actualizó exitosamente!
Status updated successfully!,Status updated successfully!,स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث الحالة بنجاح!,¡Estado actualizado exitosamente!
A reply has been sent to your mail about your booking(Car:,A reply has been sent to your mail about your booking(Car:,आपकी बुकिंग के बारे में आपके मेल पर एक उत्तर भेज दिया गया है (कार:,تم إرسال الرد إلى بريدك بخصوص حجزك (السيارة:,Se ha enviado una respuesta a su correo sobre su reserva (Coche:
Reply sent successfully!,Reply sent successfully!,उत्तर सफलतापूर्वक भेजा गया!,تم إرسال الرد بنجاح!,¡Respuesta enviada exitosamente!
Cookie information updated successfully!,Cookie information updated successfully!,कुकी जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,¡La información de las cookies se actualizó correctamente!
Default currency make failed! Please try again.,Default currency make failed! Please try again.,डिफ़ॉल्ट मुद्रा निर्माण विफल! कृपया पुन: प्रयास करें।,العملة الافتراضية فشلت! حاول مرة اخرى.,¡Error en la creación de moneda predeterminada! Inténtalo de nuevo.
Currency Saved Successfully!,Currency Saved Successfully!,मुद्रा सफलतापूर्वक सहेजी गई!,تم حفظ العملة بنجاح!,¡Moneda guardada con éxito!
Currency record not found in our system.,Currency record not found in our system.,हमारे सिस्टम में मुद्रा रिकॉर्ड नहीं मिला.,سجل العملة غير موجود في نظامنا.,Registro de moneda no encontrado en nuestro sistema.
Currency status updated successfully!,Currency status updated successfully!,मुद्रा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة العملة بنجاح!,¡El estado de la moneda se actualizó exitosamente!
Currency not found!,Currency not found!,मुद्रा नहीं मिली!,لم يتم العثور على العملة!,¡Moneda no encontrada!
Image file upload failed!,Image file upload failed!,छवि फ़ाइल अपलोड विफल!,فشل تحميل ملف الصورة!,¡Error al cargar el archivo de imagen!
Successfully updated the information.,Successfully updated the information.,जानकारी सफलतापूर्वक अद्यतन की गई.,تم تحديث المعلومات بنجاح.,Se actualizó exitosamente la información.
Can't deletable default currency.,Can't deletable default currency.,डिफ़ॉल्ट मुद्रा को हटाया नहीं जा सकता.,لا يمكن حذف العملة الافتراضية.,No se puede eliminar la moneda predeterminada.
Currency deleted successfully!,Currency deleted successfully!,मुद्रा सफलतापूर्वक हटा दी गई!,تم حذف العملة بنجاح!,¡Moneda eliminada exitosamente!
Notifications clear successfully!,Notifications clear successfully!,सूचनाएं सफलतापूर्वक साफ़ हो गईं!,تم مسح الإخطارات بنجاح!,¡Las notificaciones se borran correctamente!
Extension has been updated successfully,Extension has been updated successfully,एक्सटेंशन सफलतापूर्वक अपडेट कर दिया गया है,تم تحديث الامتداد بنجاح,La extensión se ha actualizado correctamente.
Extension is not found!,Extension is not found!,एक्सटेंशन नहीं मिला!,لم يتم العثور على التمديد!,¡No se encuentra la extensión!
Extension status is updated successfully!,Extension status is updated successfully!,एक्सटेंशन स्थिति सफलतापूर्वक अपडेट हो गई है!,تم تحديث حالة الامتداد بنجاح!,¡El estado de la extensión se actualizó correctamente!
Language updated successfully!,Language updated successfully!,भाषा सफलतापूर्वक अपडेट की गई!,تم تحديث اللغة بنجاح!,¡Idioma actualizado exitosamente!
Language (,Language (,भाषा (,لغة (,Idioma (
) is not removable.,) is not removable.,) हटाने योग्य नहीं है.,) غير قابل للإزالة.,) no es removible.
File remove failed!,File remove failed!,फ़ाइल हटाना विफल!,فشل إزالة الملف!,¡Error al eliminar el archivo!
Language deleted successfully!,Language deleted successfully!,भाषा सफलतापूर्वक हटा दी गई!,تم حذف اللغة بنجاح!,¡Idioma eliminado exitosamente!
Please deselect your default language first.,Please deselect your default language first.,कृपया पहले अपनी डिफ़ॉल्ट भाषा का चयन रद्द करें।,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Primero deseleccione su idioma predeterminado.
Language status updated successfully!,Language status updated successfully!,भाषा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة اللغة بنجاح!,¡El estado del idioma se actualizó exitosamente!
Sorry! Language not found!,Sorry! Language not found!,क्षमा मांगना! भाषा नहीं मिली!,آسف! لم يتم العثور على اللغة!,¡Lo siento! ¡Idioma no encontrado!
Failed to store new file.,Failed to store new file.,नई फ़ाइल संग्रहीत करने में विफल.,فشل في تخزين الملف الجديد.,No se pudo almacenar el nuevo archivo.
Oops! Language not found!,Oops! Language not found!,उफ़! भाषा नहीं मिली!,أُووبس! لم يتم العثور على اللغة!,¡Ups! ¡Idioma no encontrado!
Language switch successfully!,Language switch successfully!,भाषा परिवर्तन सफलतापूर्वक!,تبديل اللغة بنجاح!,¡Cambio de idioma exitoso!
File does not exists.,File does not exists.,फ़ाइल मौजूद नहीं है.,الملف غير موجود.,El archivo no existe.
Profile Information Updated Successfully!,Profile Information Updated Successfully!,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الملف الشخصي بنجاح!,¡Información de perfil actualizada con éxito!
Password updated successfully!,Password updated successfully!,पासवर्ड सफलतापूर्वक अद्यतन!,تم تحديث كلمة السر بنجاح!,¡Contraseña actualizada exitosamente!
Oops! Basic settings not found!,Oops! Basic settings not found!,उफ़! बुनियादी सेटिंग्स नहीं मिलीं!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,¡Ups! ¡No se encontraron configuraciones básicas!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,क्षमा मांगना! पुश नोटिफिकेशन भेजने के लिए आपको पहले कॉन्फ़िगर करना होगा।,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,कृपया अपनी पुश अधिसूचना को वैध क्रेडेंशियल्स के साथ कॉन्फ़िगर करें।,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Configure su notificación push con credenciales válidas.
Oops! Failed to store information.,Oops! Failed to store information.,उफ़! जानकारी संग्रहीत करने में विफल.,أُووبس! فشل في تخزين المعلومات.,¡Ups! No se pudo almacenar la información.
Notification sended successfully!,Notification sended successfully!,अधिसूचना सफलतापूर्वक भेजी गई!,تم إرسال الإخطار بنجاح!,¡Notificación enviada exitosamente!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,पुश अधिसूचना कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين إشعار الدفع بنجاح!,¡La configuración de notificaciones push se actualizó correctamente!
Information updated successfully!,Information updated successfully!,जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث المعلومات بنجاح!,¡Información actualizada exitosamente!
Email send successfully!,Email send successfully!,ईमेल सफलतापूर्वक भेजा गया!,إرسال البريد الإلكتروني بنجاح!,¡Envío de correo electrónico exitoso!
Page not found!,Page not found!,पृष्ठ नहीं मिला!,الصفحة غير موجودة!,¡Página no encontrada!
Setup Page status updated successfully!,Setup Page status updated successfully!,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة صفحة الإعداد بنجاح!,¡El estado de la página de configuración se actualizó exitosamente!
Banner updated successfully!,Banner updated successfully!,बैनर सफलतापूर्वक अपडेट किया गया!,تم تحديث البانر بنجاح!,¡Banner actualizado exitosamente!
About updated successfully!,About updated successfully!,सफलतापूर्वक अद्यतन के बारे में!,تم التحديث بنجاح!,Acerca de actualizado con éxito!
App updated successfully!,App updated successfully!,ऐप सफलतापूर्वक अपडेट हो गया!,تم تحديث التطبيق بنجاح!,¡Aplicación actualizada exitosamente!
Section updated successfully!,Section updated successfully!,अनुभाग सफलतापूर्वक अपडेट किया गया!,تم تحديث القسم بنجاح!,¡Sección actualizada exitosamente!
Service Section updated successfully!,Service Section updated successfully!,सेवा अनुभाग सफलतापूर्वक अपडेट किया गया!,تم تحديث قسم الخدمة بنجاح!,¡Sección de Servicio actualizada exitosamente!
Service item added successfully!,Service item added successfully!,सेवा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الخدمة بنجاح!,¡Artículo de servicio agregado exitosamente!
Section not found!,Section not found!,अनुभाग नहीं मिला!,لم يتم العثور على القسم!,¡Sección no encontrada!
Service item not found!,Service item not found!,सेवा वस्तु नहीं मिली!,لم يتم العثور على عنصر الخدمة!,¡Artículo de servicio no encontrado!
Service item is invalid!,Service item is invalid!,सेवा मद अमान्य है!,عنصر الخدمة غير صالح!,¡El artículo de servicio no es válido!
Service Item updated successfully!,Service Item updated successfully!,सेवा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الخدمة بنجاح!,¡Artículo de servicio actualizado exitosamente!
Service item deleted successfully!,Service item deleted successfully!,सेवा आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الخدمة بنجاح!,¡El elemento de servicio se eliminó correctamente!
Security Section updated successfully!,Security Section updated successfully!,सुरक्षा अनुभाग सफलतापूर्वक अद्यतन किया गया!,تم تحديث قسم الأمان بنجاح!,¡Sección de Seguridad actualizada exitosamente!
Security item added successfully!,Security item added successfully!,सुरक्षा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الأمان بنجاح!,¡El elemento de seguridad se agregó correctamente!
Security item not found!,Security item not found!,सुरक्षा वस्तु नहीं मिली!,لم يتم العثور على عنصر الأمان!,¡Artículo de seguridad no encontrado!
Security item is invalid!,Security item is invalid!,सुरक्षा मद अमान्य है!,عنصر الأمان غير صالح!,¡El elemento de seguridad no es válido!
Security Item updated successfully!,Security Item updated successfully!,सुरक्षा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الأمان بنجاح!,¡El elemento de seguridad se actualizó exitosamente!
Security item deleted successfully!,Security item deleted successfully!,सुरक्षा आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الأمان بنجاح!,¡El elemento de seguridad se eliminó correctamente!
Statistics updated successfully!,Statistics updated successfully!,आँकड़े सफलतापूर्वक अपडेट किए गए!,تم تحديث الإحصائيات بنجاح!,¡Estadísticas actualizadas con éxito!
Statistics item added successfully!,Statistics item added successfully!,सांख्यिकी आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الإحصائيات بنجاح!,¡El elemento de estadísticas se agregó correctamente!
Statistics not found!,Statistics not found!,आँकड़े नहीं मिले!,لم يتم العثور على الإحصائيات!,¡Estadísticas no encontradas!
Statistics item not found!,Statistics item not found!,सांख्यिकी आइटम नहीं मिला!,لم يتم العثور على عنصر الإحصائيات!,¡No se encontró el elemento estadístico!
Statistics item is invalid!,Statistics item is invalid!,सांख्यिकी आइटम अमान्य है!,عنصر الإحصائيات غير صالح!,¡El elemento de estadísticas no es válido!
Statistics item deleted successfully!,Statistics item deleted successfully!,सांख्यिकी आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الإحصائيات بنجاح!,¡El elemento de estadísticas se eliminó correctamente!
Why Choose Us Section updated successfully!,Why Choose Us Section updated successfully!,हमें क्यों चुनें अनुभाग सफलतापूर्वक अद्यतन किया गया!,تم تحديث قسم لماذا تختارنا بنجاح!,¡La sección Por qué elegirnos se actualizó exitosamente!
Why Choose Us item added successfully!,Why Choose Us item added successfully!,हमें क्यों चुनें आइटम सफलतापूर्वक जोड़ा गया!,لماذا تختارنا تمت إضافة العنصر بنجاح!,¿Por qué elegirnos? ¡Artículo agregado exitosamente!
Why Choose Us item not found!,Why Choose Us item not found!,हमें क्यों चुनें आइटम नहीं मिला!,لماذا تختارنا لم يتم العثور على العنصر!,¿Por qué elegirnos? ¡Artículo no encontrado!
Why Choose Us item is invalid!,Why Choose Us item is invalid!,हमें क्यों चुनें आइटम अमान्य है!,لماذا تختارنا؟ العنصر غير صالح!,¿Por qué elegirnos? ¡El artículo no es válido!
Why Choose Us Item updated successfully!,Why Choose Us Item updated successfully!,हमें क्यों चुनें आइटम सफलतापूर्वक अपडेट किया गया!,لماذا تختارنا تم تحديث العنصر بنجاح!,¿Por qué elegirnos? ¡Artículo actualizado exitosamente!
Why Choose Us item deleted successfully!,Why Choose Us item deleted successfully!,हमें क्यों चुनें आइटम सफलतापूर्वक हटा दिया गया!,لماذا تختارنا تم حذف العنصر بنجاح!,¿Por qué elegirnos? ¡El artículo se eliminó correctamente!
FAQ updated successfully!,FAQ updated successfully!,FAQ सफलतापूर्वक अपडेट किया गया!,تم تحديث الأسئلة الشائعة بنجاح!,¡Preguntas frecuentes actualizadas correctamente!
FAQ item added successfully!,FAQ item added successfully!,FAQ आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الأسئلة الشائعة بنجاح!,¡El artículo de preguntas frecuentes se agregó correctamente!
FAQ item not found!,FAQ item not found!,अक्सर पूछे जाने वाले प्रश्न आइटम नहीं मिला!,لم يتم العثور على عنصر الأسئلة الشائعة!,¡Artículo de preguntas frecuentes no encontrado!
FAQ item is invalid!,FAQ item is invalid!,FAQ आइटम अमान्य है!,عنصر الأسئلة الشائعة غير صالح!,¡El artículo de preguntas frecuentes no es válido!
FAQ item deleted successfully!,FAQ item deleted successfully!,FAQ आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الأسئلة الشائعة بنجاح!,¡El elemento de preguntas frecuentes se eliminó correctamente!
Testimonials updated successfully!,Testimonials updated successfully!,प्रशंसापत्र सफलतापूर्वक अपडेट किए गए!,تم تحديث الشهادات بنجاح!,¡Testimonios actualizados exitosamente!
Testimonial item added successfully!,Testimonial item added successfully!,प्रशंसापत्र आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الشهادة بنجاح!,¡Artículo testimonial agregado exitosamente!
Testimonial item not found!,Testimonial item not found!,प्रशंसापत्र आइटम नहीं मिला!,لم يتم العثور على البند الشهادة!,¡Artículo testimonial no encontrado!
Testimonial item is invalid!,Testimonial item is invalid!,प्रशंसापत्र आइटम अमान्य है!,عنصر الشهادة غير صالح!,¡El artículo testimonial no es válido!
Testimonial item deleted successfully!,Testimonial item deleted successfully!,प्रशंसापत्र आइटम सफलतापूर्वक हटा दिया गया!,تم حذف عنصر الشهادة بنجاح!,¡El artículo testimonial se eliminó correctamente!
Category Saved Successfully!,Category Saved Successfully!,श्रेणी सफलतापूर्वक सहेजी गई!,تم حفظ الفئة بنجاح!,¡Categoría guardada exitosamente!
Category Updated Successfully!,Category Updated Successfully!,श्रेणी सफलतापूर्वक अपडेट की गई!,تم تحديث الفئة بنجاح!,¡Categoría actualizada con éxito!
Category record not found in our system.,Category record not found in our system.,हमारे सिस्टम में श्रेणी रिकॉर्ड नहीं मिला.,لم يتم العثور على سجل الفئة في نظامنا.,Registro de categoría no encontrado en nuestro sistema.
Category status updated successfully!,Category status updated successfully!,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الفئة بنجاح!,¡El estado de la categoría se actualizó exitosamente!
Announcement item added successfully!,Announcement item added successfully!,घोषणा आइटम सफलतापूर्वक जोड़ा गया!,تمت إضافة عنصر الإعلان بنجاح!,¡El artículo del anuncio se agregó correctamente!
Announcement item updated successfully!,Announcement item updated successfully!,घोषणा आइटम सफलतापूर्वक अपडेट किया गया!,تم تحديث عنصر الإعلان بنجاح!,¡El elemento del anuncio se actualizó correctamente!
Announcement record not found in our system.,Announcement record not found in our system.,हमारे सिस्टम में घोषणा रिकॉर्ड नहीं मिला.,سجل الإعلان غير موجود في نظامنا.,Registro de anuncio no encontrado en nuestro sistema.
Announcement status updated successfully!,Announcement status updated successfully!,घोषणा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الإعلان بنجاح!,¡El estado del anuncio se actualizó exitosamente!
Footer updated successfully!,Footer updated successfully!,फ़ुटर सफलतापूर्वक अपडेट किया गया!,تم تحديث التذييل بنجاح!,¡Pie de página actualizado exitosamente!
Social icon added successfully!,Social icon added successfully!,सामाजिक चिह्न सफलतापूर्वक जोड़ा गया!,تمت إضافة الرمز الاجتماعي بنجاح!,¡El ícono social se agregó exitosamente!
Social Icon not found!,Social Icon not found!,सामाजिक चिह्न नहीं मिला!,لم يتم العثور على أيقونة الاجتماعية!,¡Icono social no encontrado!
Social Icon is invalid!,Social Icon is invalid!,सामाजिक चिह्न अमान्य है!,الرمز الاجتماعي غير صالح!,¡El icono social no es válido!
Social Icon deleted successfully!,Social Icon deleted successfully!,सामाजिक चिह्न सफलतापूर्वक हटा दिया गया!,تم حذف أيقونة التواصل الاجتماعي بنجاح!,¡El ícono social se eliminó exitosamente!
Auth updated successfully!,Auth updated successfully!,प्रमाणीकरण सफलतापूर्वक अपडेट किया गया!,تم تحديث المصادقة بنجاح!,¡Autenticación actualizada exitosamente!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.,¡Falló el envío de SMS! Inténtalo de nuevo.
Failed to change status to active!,Failed to change status to active!,स्थिति को सक्रिय में बदलने में विफल!,فشل تغيير الحالة إلى نشطة!,¡No se pudo cambiar el estado a activo!
This ticket is already solved!,This ticket is already solved!,यह टिकट पहले ही हल हो चुका है!,تم حل هذه التذكرة بالفعل!,¡Este ticket ya está solucionado!
Page added successfully!,Page added successfully!,पेज सफलतापूर्वक जोड़ा गया!,تمت إضافة الصفحة بنجاح!,¡Página agregada exitosamente!
Page updated successfully!,Page updated successfully!,पेज सफलतापूर्वक अपडेट किया गया!,تم تحديث الصفحة بنجاح!,¡Página actualizada exitosamente!
Page record not found in our system.,Page record not found in our system.,हमारे सिस्टम में पेज रिकॉर्ड नहीं मिला.,سجل الصفحة غير موجود في نظامنا.,Registro de página no encontrado en nuestro sistema.
Page status updated successfully!,Page status updated successfully!,पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الصفحة بنجاح!,¡El estado de la página se actualizó exitosamente!
Page deleted successfully!,Page deleted successfully!,पेज सफलतापूर्वक हटा दिया गया!,تم حذف الصفحة بنجاح!,¡Página eliminada exitosamente!
Oops! User not exists,Oops! User not exists,उफ़! उपयोगकर्ता मौजूद नहीं है,أُووبس! المستخدم غير موجود,¡Ups! El usuario no existe
Email successfully sended,Email successfully sended,ईमेल सफलतापूर्वक भेजा गया,تم إرسال البريد الإلكتروني بنجاح,Correo electrónico enviado correctamente
Mail successfully sended,Mail successfully sended,मेल सफलतापूर्वक भेजा गया,تم إرسال البريد بنجاح,Correo enviado exitosamente
Oops! User doesn't exists,Oops! User doesn't exists,उफ़! उपयोगकर्ता मौजूद नहीं है,أُووبس! المستخدم غير موجود,¡Ups! El usuario no existe
Basic settings not found!,Basic settings not found!,बुनियादी सेटिंग्स नहीं मिलीं!,لم يتم العثور على الإعدادات الأساسية!,¡No se encontraron configuraciones básicas!
Basic settings updated successfully!,Basic settings updated successfully!,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث الإعدادات الأساسية بنجاح!,¡La configuración básica se actualizó correctamente!
You have to configure your system mail first.,You have to configure your system mail first.,आपको पहले अपना सिस्टम मेल कॉन्फ़िगर करना होगा.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Primero debe configurar el correo de su sistema.
Basic settings status updated successfully!,Basic settings status updated successfully!,बुनियादी सेटिंग्स स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الإعدادات الأساسية بنجاح!,¡El estado de la configuración básica se actualizó correctamente!
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.
No changes to update.,No changes to update.,अद्यतन करने के लिए कोई परिवर्तन नहीं.,لا توجد تغييرات للتحديث.,No hay cambios para actualizar.
Image assets updated successfully!.,Image assets updated successfully!.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!,تم تحديث أصول الصورة بنجاح!.,Recursos de imagen actualizados exitosamente.
Pickup date and time must be in the future.,Pickup date and time must be in the future.,पिकअप की तारीख और समय भविष्य का होना चाहिए.,يجب أن يكون تاريخ ووقت الاستلام في المستقبل.,La fecha y hora de recogida deben ser en el futuro.
Round pickup date and time must be in the future.,Round pickup date and time must be in the future.,राउंड पिकअप की तारीख और समय भविष्य में होना चाहिए।,يجب أن يكون تاريخ ووقت الاستلام في المستقبل.,La fecha y hora de recogida de la ronda deben ser futuras.
Round pickup date and time must be greater than pickup date and time.,Round pickup date and time must be greater than pickup date and time.,राउंड पिकअप दिनांक और समय पिकअप दिनांक और समय से अधिक होना चाहिए।,يجب أن يكون تاريخ ووقت الاستلام أكبر من تاريخ ووقت الاستلام.,La fecha y hora de recogida de la ronda deben ser mayores que la fecha y hora de recogida.
This car is already booked at the selected date,This car is already booked at the selected date,यह कार पहले से ही चयनित तिथि पर बुक हो चुकी है,تم حجز هذه السيارة بالفعل في التاريخ المحدد,Este coche ya está reservado en la fecha seleccionada.
Booking Not Found!,Booking Not Found!,बुकिंग नहीं मिली!,لم يتم العثور على الحجز!,¡Reserva no encontrada!
Please check your email to get the OTP,Please check your email to get the OTP,ओटीपी प्राप्त करने के लिए कृपया अपना ईमेल जांचें,يرجى التحقق من بريدك الإلكتروني للحصول على كلمة المرور لمرة واحدة,Por favor revise su correo electrónico para obtener la OTP
Verification code not found in temporary data,Verification code not found in temporary data,अस्थायी डेटा में सत्यापन कोड नहीं मिला,لم يتم العثور على رمز التحقق في البيانات المؤقتة,Código de verificación no encontrado en datos temporales
Invalid otp code,Invalid otp code,अमान्य ओटीपी कोड,رمز OTP غير صالح,código otp no válido
Your Booking (Car Model:,Your Booking (Car Model:,आपकी बुकिंग (कार मॉडल:,حجزك (موديل السيارة:,Su Reserva (Modelo de Coche:
Successfully booked,Successfully booked,सफलतापूर्वक बुक किया गया,تم الحجز بنجاح,Reservado con éxito
Congratulations! Car Booking Confirmed Successfully.,Congratulations! Car Booking Confirmed Successfully.,बधाई हो! कार बुकिंग की सफलतापूर्वक पुष्टि हो गई।,تهانينا! تم تأكيد حجز السيارة بنجاح.,¡Felicidades! Reserva de coche confirmada con éxito.
Mail OTP Resend Success!,Mail OTP Resend Success!,मेल ओटीपी पुनः भेजें सफलता!,نجاح إعادة إرسال البريد OTP!,¡Reenvío de OTP por correo exitoso!
A User Has sent a message,A User Has sent a message,एक उपयोगकर्ता ने एक संदेश भेजा है,أرسل أحد المستخدمين رسالة,Un usuario ha enviado un mensaje.
Message Send Successfully!,Message Send Successfully!,संदेश सफलतापूर्वक भेजा गया!,تم إرسال الرسالة بنجاح!,¡Mensaje enviado exitosamente!
A User Has subscribed!,A User Has subscribed!,एक उपयोगकर्ता ने सदस्यता ले ली है!,لقد قام مستخدم بالاشتراك!,¡Un usuario se ha suscrito!
Subscribed Successfully!,Subscribed Successfully!,सफलतापूर्वक सदस्यता ली!,تم الاشتراك بنجاح!,¡Suscrito exitosamente!
Language Switch to ,Language Switch to,भाषा पर स्विच करें,تبديل اللغة إلى,Idioma Cambiar a
Password Reset Token Expired,Password Reset Token Expired,पासवर्ड रीसेट टोकन समाप्त हो गया,انتهت صلاحية رمز إعادة تعيين كلمة المرور,El token de restablecimiento de contraseña expiró
You can resend verification code after,You can resend verification code after,आप इसके बाद सत्यापन कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Puedes reenviar el código de verificación después
Verification code resend success!,Verification code resend success!,सत्यापन कोड पुनः भेजना सफल!,تمت إعادة إرسال رمز التحقق بنجاح!,¡El reenvío del código de verificación fue exitoso!
Invalid Request. Please try again.,Invalid Request. Please try again.,अमान्य अनुरोध। कृपया पुन: प्रयास करें।,طلب غير صالح. حاول مرة اخرى.,Solicitud no válida. Inténtalo de nuevo.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.
User Registration is currently disabled from admin,User Registration is currently disabled from admin,उपयोगकर्ता पंजीकरण वर्तमान में व्यवस्थापक से अक्षम है,تسجيل المستخدم معطل حاليا من المشرف,El registro de usuario está actualmente deshabilitado desde el administrador.
Profile successfully updated!,Profile successfully updated!,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!,تم تحديث الملف الشخصي بنجاح!,¡Perfil actualizado exitosamente!
Current password didn't match,Current password didn't match,वर्तमान पासवर्ड मेल नहीं खाता,كلمة المرور الحالية غير متطابقة,La contraseña actual no coincide
Password successfully updated!,Password successfully updated!,पासवर्ड सफलतापूर्वक अपडेट किया गया!,تم تحديث كلمة المرور بنجاح!,¡Contraseña actualizada exitosamente!
Your account deleted successfully!,Your account deleted successfully!,आपका खाता सफलतापूर्वक हटा दिया गया!,تم حذف حسابك بنجاح!,¡Tu cuenta se eliminó exitosamente!
Password Changed successfully login again!,Password Changed successfully login again!,पासवर्ड सफलतापूर्वक बदला गया फिर से लॉगिन करें!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!
